CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
001;5087511;12372835;23210;63.8;15;18.8;15.9;17.1;15.6;12;8;5.5;25;85.5;77.4;3.1;5;21.5;10.5;4.5;1.9;1.5;1.1;-22;10870;46980;4.3
002;947330;2236788;22510;57.3;12.7;19.9;14.2;14.8;12.4;8.1;6.9;5;24.4;78.4;70.6;3.2;4.6;24.3;10.2;5.2;2.3;1.6;1.3;-18.1;11720;40650;3.5
003;738953;1703130;20880;52.4;18.5;27.2;21.5;21.4;19.2;13;10.7;6.4;32.2;73.9;64;3.8;6.1;27.8;9.9;6.7;2.2;2.7;1.8;-18.3;10140;38890;3.8
004;571563;1295887;22710;56.1;12.4;23.4;12.9;13.1;11.4;8.3;9.1;5;24.4;80.8;72.1;3.2;5.5;22.5;9.4;5.3;2;1.9;1.4;-18;11790;40250;3.4
005;474839;1126619;20600;50.4;17.8;28;19.2;20.1;17.8;11.7;9.3;6.6;33.2;77.6;69;3.3;5.3;23.4;8.7;7.4;2.7;2.8;1.9;-17.1;10450;38410;3.7
006;539414;1218993;22250;55.4;11.9;22.1;13;12.6;11.5;7.7;7.6;5;22.4;77.6;68.3;3.5;5.8;26;9.1;5;1.8;1.9;1.3;-17.7;12000;39000;3.3
007;479613;1027186;21600;55.3;15.5;22.2;17.8;17.5;16;12.5;10.6;7.9;25.4;71.2;61.2;3.4;6.6;30;13.5;4.8;1.6;2;1.2;-19.5;10820;40770;3.8
008;403934;939278;22410;54.9;10;18.1;10.8;10.8;9.4;6.1;6.5;5;23.2;79.4;71.4;3.1;4.9;24;8.6;5;2.2;1.6;1.2;-17;12660;37950;3
009;325080;747322;21990;55.9;14.5;23.3;18.4;17.5;13.1;8.9;6.4;5;26.7;76;67.8;3;5.2;26.8;9.9;5.2;2;1.8;1.4;-17.9;11160;39330;3.5
010;289671;664701;22840;57.6;11.3;21.4;13;12.8;10.7;6.9;6.7;5;24.2;75.4;68;2.9;4.5;27;10.3;4.7;2;1.5;1.2;-17.4;12180;40080;3.3
011;296528;693563;21990;53.6;10.4;21.8;11.7;10.8;8.9;5.8;6.4;5;24.3;79.4;71.4;2.9;5.1;23.9;8.4;5.3;2.3;1.7;1.3;-17;12510;36970;3
012;277415;630829;21190;51.9;14.1;23.5;16.2;16.7;13.4;8.9;6.7;5;27.8;73.6;65.6;3.1;4.9;28.9;7.1;6.4;2.4;2.3;1.7;-16;11320;36360;3.2
013;291842;627156;21230;52.2;15;23.1;18.6;18.2;15.6;11.3;8.7;6.5;26.7;64.4;54.7;3.3;6.4;36;11.7;5.4;1.7;2.3;1.4;-17.5;11000;37810;3.4
014;219150;535736;17720;37.5;22;33.9;25.8;25.1;21.9;13.9;12.2;8.2;36.4;68.4;61.2;3.7;3.5;29;5;10.6;3.6;4.2;2.8;-13;10130;29750;2.9
015;255830;568731;21150;51.9;16.9;28.8;18.3;19.1;16.9;11.9;9.8;6.9;29.8;74.5;63.5;3.8;7.2;27.2;10.2;6.3;2.1;2.4;1.8;-18.2;10510;39320;3.7
016;230495;536517;19700;46.4;18.8;25.9;21.8;21.9;18.2;15.2;11.3;8.5;32.5;69;58.6;3.9;6.5;29.3;11.2;6.7;2.4;2.5;1.8;-16.2;10260;35440;3.5
017;216985;498448;20260;46.3;15.5;25.6;18.5;18.8;15.3;9.2;8.7;6;31.2;68.8;61;3.1;4.7;30.6;9.1;6.8;2.7;2.3;1.8;-15.3;11030;34250;3.1
018;217452;484403;21440;52.4;12.6;23.7;14.8;14.3;12.1;7.5;6.7;5;26.8;72.4;64.8;3;4.6;30.1;8.7;5.4;2.1;1.9;1.4;-16.6;11770;36850;3.1
019;211045;459964;22080;54.6;11.8;23.2;13.5;12.9;11.2;7.3;7.2;5;25.9;72.7;65.2;2.7;4.8;29.6;9.7;4.9;1.9;1.7;1.3;-16.9;12000;37880;3.2
020;181918;397589;21500;53.2;13.9;27.9;16.6;16.2;12.5;7.8;6.3;5;29.3;73.3;65;2.7;5.6;29.8;8.5;5.8;2;2.2;1.6;-17.4;11320;37390;3.3
021;183710;432166;21910;56.9;12.7;21.7;15.6;14.8;11.3;7.7;5.4;5;27.6;74.8;68;2.9;3.9;28.2;8.5;5.3;2.4;1.6;1.3;-16.8;11740;37350;3.2
022;174992;396587;21520;53;11.3;21.9;13;13;11.2;6.4;5.7;5;23.6;72.4;64.2;3;5.2;30;8.2;5.4;2.2;1.8;1.4;-16;12200;36330;3
023;173141;400475;21040;49;11.9;22.3;14.2;13.4;11.2;6.6;6.1;5;25.6;72.5;64.1;3.1;5.3;28.8;8.3;5.9;2.5;1.9;1.5;-15.5;12000;35620;3
