CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01001;317;802;23310;;;;;;;;;;;;;;;;;;;;;;;;
01002;107;258;24290;;;;;;;;;;;;;;;;;;;;;;;;
01004;6505;14567;19860;49;17;21;21;22;15;10;;6;27;72.9;65.9;3.6;3.4;26.9;8.6;7.1;2.9;2.3;1.9;-15.5;10710;34350;3.2
01005;649;1700;23370;;;;;;;;;;;;;;;;;;;;;;;;
01006;49;106;23970;;;;;;;;;;;;;;;;;;;;;;;;
01007;1091;2725;22380;57;;;;;;;;;;75.6;70.4;2.4;2.8;27.1;8;4.3;2.4;1.1;0.8;-15;13550;34950;2.6
01008;311;768;25330;;;;;;;;;;;;;;;;;;;;;;;;
01009;141;331;23250;;;;;;;;;;;;;;;;;;;;;;;;
01010;440;1046;22360;;;;;;;;;;;;;;;;;;;;;;;;
01011;146;380;24540;;;;;;;;;;;;;;;;;;;;;;;;
01012;147;325;20960;;;;;;;;;;;;;;;;;;;;;;;;
01013;62;140;20910;;;;;;;;;;;;;;;;;;;;;;;;
01014;1321;3450;20470;53;11;;;;;;;;23;71.3;65.9;3.3;2.1;28.9;13.1;4.7;2.3;1.4;1;-18;12330;36190;2.9
01015;287;676;23090;;;;;;;;;;;;;;;;;;;;;;;;
01016;178;478;20030;;;;;;;;;;;;;;;;;;;;;;;;
01017;201;416;19040;;;;;;;;;;;;;;;;;;;;;;;;
01019;;;;;;;;;;;;;;;;;;;;;;;;;;;
01021;521;1355;24160;;;;;;;;;;;;;;;;;;;;;;;;
01022;559;1191;20150;;;;;;;;;;;;;;;;;;;;;;;;
01023;;;;;;;;;;;;;;;;;;;;;;;;;;;
01024;1280;3266;22030;58;6;;;;;;;;;79.3;72.8;2.3;4.2;25.4;7;3.9;2.5;0.7;0.7;-15.6;14220;34890;2.5
01025;1555;4119;22010;55;6;;;;;;;;;79.3;71.5;2.4;5.4;23.6;7.9;4;2.7;0.8;0.5;-14.8;13930;33690;2.4
01026;403;889;21040;;;;;;;;;;;;;;;;;;;;;;;;
01027;668;1871;23730;;;;;;;;;;;;;;;;;;;;;;;;
01028;233;605;23390;;;;;;;;;;;;;;;;;;;;;;;;
01029;259;600;19700;;;;;;;;;;;;;;;;;;;;;;;;
01030;368;853;21040;;;;;;;;;;;;;;;;;;;;;;;;
01031;1559;3547;19450;47;17;;;;;;;;26;67.9;62.5;3.5;1.9;30.5;8.5;7.6;3.2;2.3;2.1;-14.5;10760;34350;3.2
01032;1170;3250;21390;52;8;;;;;;;;;81.2;75.7;3.1;2.4;21.5;6.4;5.4;3.5;1;0.9;-14.5;13350;35060;2.6
01033;6498;15170;21660;45;16;18;18;20;15;11;;7;26;78.8;72;4.4;2.4;23.6;7;4.5;1.9;1.4;1.2;-13.9;10950;44130;4
01034;3994;8670;19050;46;18;;23;22;19;13;;6;29;65.2;57.6;3.1;4.5;33;9.5;7.4;2.8;2.7;1.9;-15.1;10720;33640;3.1
01035;136;308;23540;;;;;;;;;;;;;;;;;;;;;;;;
01036;577;1268;22490;;;;;;;;;;;;;;;;;;;;;;;;
01037;116;273;21060;;;;;;;;;;;;;;;;;;;;;;;;
01038;308;767;22020;;;;;;;;;;;;;;;;;;;;;;;;
01039;200;475;20690;;;;;;;;;;;;;;;;;;;;;;;;
01040;186;505;20830;;;;;;;;;;;;;;;;;;;;;;;;
01041;324;768;22570;;;;;;;;;;;;;;;;;;;;;;;;
01042;117;312;23640;;;;;;;;;;;;;;;;;;;;;;;;
01043;1815;4723;27030;70;5;;;;;;;;;79.5;71.8;2.6;5.1;25.5;11.3;2.6;1.6;0.5;0.5;-18.9;15260;46340;3
01044;239;583;25670;;;;;;;;;;;;;;;;;;;;;;;;
01045;100;296;25650;;;;;;;;;;;;;;;;;;;;;;;;
01046;330;863;21790;;;;;;;;;;;;;;;;;;;;;;;;
01047;395;1077;25940;;;;;;;;;;;;;;;;;;;;;;;;
01049;1224;3279;24490;64;;;;;;;;;;79.8;73.9;2.3;3.6;23.8;9.8;3.4;2.2;0.7;0.5;-16.8;14910;39510;2.7
01050;128;345;19460;;;;;;;;;;;;;;;;;;;;;;;;
01051;;;;;;;;;;;;;;;;;;;;;;;;;;;
01052;131;312;25970;;;;;;;;;;;;;;;;;;;;;;;;
01053;18539;37653;18530;46;21;24;28;25;22;14;9;5;31;64.5;57.4;3.4;3.7;33.6;9.2;8.4;2.7;3.3;2.4;-15.7;10050;33950;3.4
01054;527;1443;25800;;;;;;;;;;;;;;;;;;;;;;;;
01056;144;340;20930;;;;;;;;;;;;;;;;;;;;;;;;
01057;200;505;20820;;;;;;;;;;;;;;;;;;;;;;;;
01058;343;826;21600;;;;;;;;;;;;;;;;;;;;;;;;
