CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
200000172;10938;27036;24680;58.6;8.3;;8.4;8.8;8.3;7;;5;16.2;85;77.9;3.4;3.7;19.2;8.6;3;1.6;0.8;0.6;-15.8;13480;47570;3.5
200000438;13997;34905;20850;46.9;8.1;11.1;7.1;8.7;8.8;6.2;9.9;5.7;19.9;75.2;68.5;3.3;3.4;26.8;5.9;5.3;3.1;1.3;0.9;-13.2;13250;30410;2.3
200000545;8365;18731;17430;39.1;24.2;35.9;32.3;32;22;15.5;;12.3;40.8;59.9;52.5;4.3;3.1;36.4;6.9;9.9;3.5;3.8;2.6;-13.1;9560;28440;3
200000628;10169;24737;18830;43.5;19.9;26.7;23.7;24.2;17.5;17.2;10.6;10.6;35.9;67.3;59.7;3.9;3.7;30.9;7.7;7.7;3;2.8;1.9;-13.6;10060;31770;3.2
200000800;4630;10203;20830;49;10.5;;;13.9;10.6;;;5.7;22;64.5;56.7;3;4.8;36.2;9.4;4.7;2.1;1.6;1;-14.8;12530;33790;2.7
200000925;8479;21850;22700;58;6.1;;5.8;7;6.2;;;5;18.1;78.2;72.4;2.3;3.5;26.9;6;3.9;2.3;1;0.6;-15;14410;33650;2.3
200000933;6473;13501;20010;46.1;13.1;24;16.5;14.4;15.3;7.7;;7.2;25.2;59.5;50.9;2.8;5.8;38.8;11;4.9;1.8;1.9;1.2;-14.2;11720;32500;2.8
200004802;11831;28184;22040;53.9;14.6;19.3;17.4;15.1;15.9;11.5;11.9;9.6;28;66.8;56;3.5;7.3;33.9;13.1;3.7;1.7;1.3;0.7;-17.5;10980;39170;3.6
200005932;6408;15414;23620;60.7;6.9;;7.1;8.9;6.8;;;5;18.3;74;67.6;2.2;4.2;31;10.1;3.1;1.8;0.7;0.6;-18.2;13970;40300;2.9
200005957;5312;12446;18590;38.8;19.1;29.2;24.8;23.8;19.1;11.4;;11;40;64.4;55.7;3.8;4.9;32.4;8.5;7.7;3.1;2.8;1.8;-13;10220;30440;3
200006682;22846;50917;21970;55.5;9.9;14.6;10.7;11.9;10.7;6.6;6.7;5;20.1;71.9;60.1;2.6;9.2;28.9;13.3;3.9;1.7;1.3;0.9;-18;12700;39460;3.1
200006716;6803;15937;20250;50.6;14.4;;18.3;16.8;13.4;11;;7.4;25.8;71.9;64;3;4.9;28.7;8.8;5.9;2.7;1.8;1.4;-15.3;11380;34640;3
200006930;2257;4633;19110;40.7;17.2;;;20.9;;;;12.6;28;59.5;50.1;2.6;6.8;37.8;10.2;5.4;1.9;2.2;1.3;-12.9;10740;31420;2.9
200006971;8383;17644;20100;47.9;14.5;21.3;20.3;18.5;16.8;8.6;;6.5;31.4;59.4;50.4;3;6;40.2;9.6;5.5;2.1;2;1.4;-14.7;11290;32480;2.9
200007052;2736;5312;18040;35.4;18.4;;;;22.6;13.8;20.8;15.9;29.7;49.9;39.1;2.3;8.5;47.2;10.1;4.6;1.4;2.3;0.9;-11.8;10840;29510;2.7
200007177;2127;4616;19060;38.9;17;;;;;;;12;32.8;58.8;50.9;3.2;4.7;38.6;8.2;6.7;2.4;2.9;1.4;-12.3;10780;29970;2.8
200010650;24454;54231;20640;49.3;13.4;21.6;17.2;16.1;13.5;7.8;7.4;5.2;28.4;67;59.9;2.7;4.4;34.1;7.8;6;2.3;2.2;1.5;-14.9;11620;34140;2.9
200010700;31432;76841;20700;49.7;12.1;19.4;13.1;14.9;12;7.1;6.7;5;27.1;73.2;66.3;3.2;3.7;28.4;6.4;6;2.7;2;1.3;-14;12040;33680;2.8
200011773;36427;80508;25320;42.6;16.3;21.1;17.2;18.2;15.5;13.5;9.9;6.6;26;83.8;76.4;4.1;3.3;19.5;8.1;3.3;1.1;1.2;1;-14.7;10320;61220;5.9
200011781;4429;9659;19930;45;12.7;;16.2;12.7;16;;;8.9;29;63.8;56.3;3;4.5;37.2;7;5.2;2;2.2;1;-13.2;11770;30790;2.6
200013050;6984;17160;22970;57.2;6.1;;;6.1;5.7;;;5;16.6;75.9;69.3;2.5;4.1;29.3;7.2;3;1.7;0.8;0.5;-15.4;14260;36290;2.5
200015162;2218;4758;17240;37.1;28.4;;;28.7;30;26.9;24.7;19.1;40;60.6;47.1;2.9;10.6;36;10.3;7.4;1.7;4;1.7;-14.3;8720;33170;3.8
