CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
02;149275;336780;17580;34;28.6;46.9;33.6;31.6;28.6;21.7;29.5;20.9;36.7;72.5;63.3;3.9;5.3;23.5;5.4;11.9;2.7;7;2.2;-13.3;8710;36740;4.2
04;316435;871868;15020;28.1;38.3;52.3;41.5;40.2;35.4;30.2;39.1;29.2;47.3;74.5;61.6;5.2;7.7;15.1;6.5;16.5;4.5;8.6;3.4;-12.6;8100;35510;4.4
11;4909110;11921957;23230;63.9;15.3;19;16.2;17.4;15.9;12.3;8.1;5.5;25.1;85.7;77.6;3.1;5;21.3;10.7;4.5;1.9;1.5;1.1;-22.2;10790;47330;4.4
24;1120490;2525220;20890;51.1;13.2;22.1;16.3;15.7;13;8.3;7.4;6;28.3;69.2;61.5;3;4.7;32.3;8.6;5.4;2.2;1.9;1.3;-15.5;11590;35050;3
27;1223240;2695858;20860;50.6;12.8;20.4;15.4;15.1;12.9;8.4;8.1;6.4;26.7;69.6;61.1;3;5.5;32.4;8.3;5.3;2.1;1.9;1.3;-15.6;11780;35550;3
28;1415013;3209421;20600;49.2;13.4;22;15.9;15.9;13.4;8.3;7.7;5.8;26.7;69.4;61.1;3.1;5.2;31.5;8.1;6;2.3;2.2;1.5;-15;11600;34600;3
32;2430437;5814295;19520;45.7;17.9;28.9;21;20.4;17.5;11.1;9.8;7.5;34;72;63.8;3.3;4.9;27.7;7.8;7.7;2.9;2.9;1.9;-15.2;10610;33970;3.2
44;2332825;5292202;21030;49.8;14.5;24.4;18.3;17.3;13.4;9;7.8;6.3;28.6;69.6;61.4;3;5.2;28.9;11.9;5.4;2;2;1.4;-15.8;11240;37310;3.3
52;1594869;3682734;20980;49.2;10.8;17.9;12;12.3;10.9;6.6;7.4;5.1;24.6;71.4;63.3;3;5.1;29.9;8.9;5.2;2.4;1.6;1.2;-15.4;12400;34620;2.8
53;1456371;3245168;21060;49.5;10.9;19.6;12.4;12.3;11.1;6.7;8.3;5.8;24.5;68.4;59.3;3;6.1;33;9.1;5.1;2.2;1.7;1.2;-15.6;12350;35090;2.8
75;2650795;5792042;20670;48.5;13.5;23;15.4;15.4;13.8;9;10.5;7.4;26.1;67.4;58.1;3.2;6.1;33.4;9.7;5.3;1.9;2.1;1.3;-15.8;11530;35530;3.1
76;2553948;5625326;20180;46.6;16.8;27.1;19.2;19.2;17;11.8;11.9;8.7;31;68.1;58.2;3.4;6.5;31.6;9.8;6.4;2.1;2.6;1.7;-15.9;10650;35740;3.4
84;3360029;7680189;21840;52.7;12.5;19.7;14.3;14.5;12.3;8.3;8;5.6;24.7;74;65.9;3.1;5;27.5;10.1;4.9;2.1;1.6;1.2;-16.5;11800;39570;3.4
93;2238549;4982421;20800;51.7;17;24.8;20.1;19.9;17.5;12.7;10.3;7.5;29.3;69.5;59.5;3.6;6.4;31;11.6;5.8;2;2.3;1.5;-17.9;10490;38190;3.6
94;123785;262084;20000;47.6;18.7;24.8;20.7;20.4;18.5;16;17.9;11.2;28.5;68.6;56.9;3;8.7;32;10.9;5.7;1.5;2.8;1.4;-17.2;10130;36640;3.6
