CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
0050;70766;156863;20270;46;13;19.4;15.1;14.9;13;9;12.1;7.6;26;64.5;55.2;2.9;6.4;35.3;9.5;5.2;2;2;1.2;-14.5;11750;33070;2.8
0051;51596;113572;19820;45;15.2;23.4;19.3;19.1;16.6;8.6;7.9;7.7;30.9;63.1;55;2.7;5.4;35.9;8.8;6.1;2.4;2.2;1.5;-13.9;11130;32270;2.9
0052;33803;68535;20060;47.5;14.8;22.1;17.6;19.7;17.2;10.1;8.7;9.8;30.2;57.9;47;2.7;8.2;41.8;9.9;5.2;1.7;2.3;1.2;-14.8;11210;33640;3
0053;62880;143366;21230;53.1;11.2;17.2;13.5;13.2;11.4;7.1;7;5.5;23.4;70.7;60.9;2.8;7;31.1;9.5;4.7;2.2;1.4;1.1;-16;12230;35840;2.9
0054;20086;43633;20070;46.9;13.7;20.3;17.9;17.6;14.8;8.7;7;7.6;28.9;61.1;51.6;3.1;6.4;38.1;10;5.1;2.1;1.8;1.2;-14.3;11520;32440;2.8
0055;42019;93952;19270;44.5;15.1;26.4;18.8;17.8;16;9.2;9.7;8.3;31;63.1;55.1;3;5;35.9;8.8;6.1;2.2;2.5;1.4;-13.9;11280;31110;2.8
0056;629687;1730410;20180;55.1;19.1;23.2;22;22.5;19;13.7;8.8;8.6;32.5;80.4;73.4;3.5;3.5;22.8;6.8;7.1;3.2;2.2;1.7;-17.1;10100;36380;3.6
0057;85748;182094;20400;47.2;13;21.2;14.8;14.9;13;9;11.8;8.1;25.5;63.6;54.2;2.8;6.6;36.9;9.9;4.6;1.8;1.7;1.1;-15;11730;34310;2.9
0059;220601;512507;19620;46.2;19.2;26.6;22.3;22.3;18.8;15.4;11.8;8.9;33;68.7;58;3.9;6.8;29.5;11.4;6.7;2.4;2.5;1.8;-16.3;10150;35410;3.5
0060;272310;621682;20250;45.6;14.6;23.8;17.2;17.5;14.3;8.8;9.1;6.4;29.8;68.2;60.1;3;5.1;31;9.5;6.3;2.6;2.1;1.6;-15;11300;34010;3
0061;631329;1429928;22330;54.7;12.8;23.5;13.3;13.6;12;8.8;9.9;5.3;24.8;79.4;70.7;3.2;5.5;23.5;9.4;5.4;2;2;1.4;-17.7;11680;39660;3.4
0201;62950;138676;18620;38.9;26;42.9;30.6;29.1;26.1;19;25.1;16;33.5;75.1;66.5;3.6;5;23;5.2;10.8;2.5;6;2.3;-14.1;8950;38870;4.3
0202;25484;58110;18950;36.8;25;40.5;27.5;27.1;25.6;18.5;29.2;18.1;34.2;75.2;65.8;3.8;5.6;22.5;5.7;10.1;2.5;5.8;1.8;-13.5;9040;38560;4.3
0203;20631;48527;16620;29.1;32;58.1;40.1;37.4;31.8;23.9;32.1;25.4;42.1;69.6;59.7;4.5;5.4;23.6;6.7;13.2;2.9;8.3;2;-13.1;8330;33620;4
0204;23955;54326;16120;28.5;32.7;54.1;39.2;35.1;32.6;25.7;34.5;26.3;41.5;68.9;59.3;4.1;5.5;24.2;4.6;14.2;3.2;8.8;2.2;-11.9;8270;33810;4.1
0205;9162;21401;17080;30.5;29.5;53.3;41.9;33.9;28;21.9;27.8;20.1;40;68.7;58.6;3.9;6.2;25.8;6.1;12.3;2.9;7.1;2.3;-12.9;8630;35160;4.1
0206;7093;15741;14570;18;38.8;52.8;49.4;42.8;37.1;33;40.2;31.7;46;60.1;50.6;5;4.5;27.6;3.5;18.1;3.4;11.8;2.9;-9.3;8020;26460;3.3
0401;44729;130520;13350;19.6;45.8;63.5;51.8;47.4;40.6;35.2;43.8;32.9;58.6;69.6;56.4;5.5;7.7;13;4.8;22.5;6.2;11.6;4.7;-9.9;7710;29510;3.8
0402;79255;207120;16530;34.3;33.3;46.9;37.2;35.4;29.9;24.8;31.4;18.3;42;78.2;66.6;4.3;7.3;15.1;6.8;14;3.9;6.8;3.3;-14.1;8590;39460;4.6
0403;76760;218358;15770;31.7;35.1;47.1;37;36.6;32.5;29.6;38.5;28.4;42.5;78.1;64.9;5.3;7.9;13.9;6.8;14.6;4.1;7.9;2.6;-13.4;8290;37660;4.5
